CC Order,SFDC Account,CFS Invoice/Credit,Invoice Amount,Invoice Date,Status
"O-0005679614","a7N3o000002EHEWEA4","22395684","$30.00","2021-12-31","Invoiced"
"O-0005680682","a7N3o000002EHrvEAG","22395684","$105.00","2021-12-31","Invoiced"
"O-0005680707","a7N3o000002EHnGEAW","22395684","$30.00","2021-12-31","Invoiced"
"O-0005685733","a7N3o000002EKRAEA4","22395684","$15.00","2021-12-31","Invoiced"
"O-0005687364","a7N3o000002EKslEAG","22395684","$75.00","2021-12-31","Invoiced"
"O-0005693268","a7N3o000002EMFDEA4","22395684","$45.00","2021-12-31","Invoiced"
"O-0005693424","a7N3o000002EMKhEAO","22395684","$15.00","2021-12-31","Invoiced"
"O-0005694074","a7N3o000002EMhQEAW","22395684","$45.00","2021-12-31","Invoiced"
"O-0005694756","a7N3o000002EN6uEAG","22395684","$15.00","2021-12-31","Invoiced"
"O-0005695234","a7N3o000002ENNHEA4","22395684","$15.00","2021-12-31","Invoiced"
"O-0005695511","a7N3o000002ENXREA4","22395684","$15.00","2021-12-31","Invoiced"
"O-0005697146","a7N3o000002EOQAEA4","22395684","$45.00","2021-12-31","Invoiced"
"O-0005697167","a7N3o000002EOQeEAO","22395684","$45.00","2021-12-31","Invoiced"
"O-0005697183","a7N3o000002EOR8EAO","22395684","$30.00","2021-12-31","Invoiced"
"O-0005697574","a7N3o000002EOayEAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005698558","a7N3o000002EOz5EAG","22395684","$30.00","2021-12-31","Invoiced"
"O-0005707154","a7N3o000002ERJVEA4","22395684","$15.00","2021-12-31","Invoiced"
"O-0005707649","a7N3o000002ERbZEAW","22395684","$30.00","2021-12-31","Invoiced"
"O-0005708353","a7N3o000002ERzqEAG","22395684","$15.00","2021-12-31","Invoiced"
"O-0005708774","a7N3o000002ESEREA4","22395684","$45.00","2021-12-31","Invoiced"
"O-0005709025","a7N3o000002ESNOEA4","22395684","$45.00","2021-12-31","Invoiced"
"O-0005709099","a7N3o000002ESPaEAO","22395684","$75.00","2021-12-31","Invoiced"
"O-0005710119","a7N3o000002VFPNEA4","22395684","$45.00","2021-12-31","Invoiced"
"O-0005711650","a7N3o000002VG6JEAW","22395684","$30.00","2021-12-31","Invoiced"
"O-0005711787","a7N3o000002VG8FEAW","22395684","$15.00","2021-12-31","Invoiced"
"O-0005711989","a7N3o000002VGBiEAO","22395684","$60.00","2021-12-31","Invoiced"
"O-0005712728","a7N3o000002VGKLEA4","22395684","$45.00","2021-12-31","Invoiced"
"O-0005717970","a7N3o000002VGmoEAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005719562","a7N3o000002VHEJEA4","22395684","$45.00","2021-12-31","Invoiced"
"O-0005720248","a7N3o000002VHPbEAO","22395684","$30.00","2021-12-31","Invoiced"
"O-0005720269","a7N3o000002VHPvEAO","22395684","$11.00","2021-12-31","Invoiced"
"O-0005721002","a7N3o000002VHdnEAG","22395684","$15.00","2021-12-31","Invoiced"
"O-0005728121","a7N3o000002VIMrEAO","22395684","$30.00","2021-12-31","Invoiced"
"O-0005730086","a7N3o000002VIl8EAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005733145","a7N3o000002VJWdEAO","22395684","$15.00","2021-12-31","Invoiced"
"O-0005739402","a7N3o000002VKXcEAO","22395684","$60.00","2021-12-31","Invoiced"
"O-0005739885","a7N3o000002VKodEAG","22395684","$45.00","2021-12-31","Invoiced"
"O-0005740368","a7N3o000002VL5UEAW","22395684","$15.00","2021-12-31","Invoiced"
"O-0005740919","a7N3o000002VLPyEAO","22395684","$45.00","2021-12-31","Invoiced"
"O-0005741853","a7N3o000002VLzwEAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005742338","a7N3o000002VMIeEAO","22395684","$60.00","2021-12-31","Invoiced"
"O-0005742441","a7N3o000002VMI1EAO","22395684","$75.00","2021-12-31","Invoiced"
"O-0005745847","a7N3o000002VODREA4","22395684","$30.00","2021-12-31","Invoiced"
"O-0005746372","a7N3o000002VOP8EAO","22395684","$45.00","2021-12-31","Invoiced"
"O-0005746694","a7N3o000002VOUpEAO","22395684","$30.00","2021-12-31","Invoiced"
"O-0005747559","a7N3o000002VOoAEAW","22395684","$15.00","2021-12-31","Invoiced"
"O-0005754468","a7N3o000002VQWHEA4","22395684","$60.00","2021-12-31","Invoiced"
"O-0005755066","a7N3o000002VQrtEAG","22395684","$75.00","2021-12-31","Invoiced"
"O-0005755364","a7N3o000002VR2wEAG","22395684","$45.00","2021-12-31","Invoiced"
"O-0005757519","a7N3o000002VSGfEAO","22395684","$45.00","2021-12-31","Invoiced"
"O-0005759201","a7N3o000002VTAiEAO","22395684","$75.00","2021-12-31","Invoiced"
"O-0005760134","a7N3o000002VTYfEAO","22395684","$60.00","2021-12-31","Invoiced"
"O-0005760474","a7N3o000002VTeUEAW","22395684","$45.00","2021-12-31","Invoiced"
"O-0005768429","a7N3o000002VUylEAG","22395684","$30.00","2021-12-31","Invoiced"
"O-0005769620","a7N3o000002VWNZEA4","22395684","$45.00","2021-12-31","Invoiced"
"O-0005770766","a7N3o000002VX9YEAW","22395684","$75.00","2021-12-31","Invoiced"
"O-0005781671","a7N3o000002VaYVEA0","22395684","$15.00","2021-12-31","Invoiced"
