CFS Account Number,Account Name,Account Identifier,Current,1-30 Days,31-60 Days,61-90 Days,91-120 Days,121-150 Days,151-180 Days,>180 Days,Total Outstanding,Report Date
"PR000001","CITY SCHOOL DISTRICT OF THE CITY OF SCHENECTADY","SF00003809","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000002","FALLS CHURCH CITY PUBLIC SCHOOLS","SF00003965","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000003","LAKE CENTRAL SCHOOL CORP","SF00003738","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000004","CITY OF DES MOINES - WRA","SF00003751","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000005","AJAX TOCCO MAGNETHERMIC","SF00004031","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000006","CHARLOTTESVLLE CITY SCHOOLS","SF00004063","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000007","MEDCOR, INC.","SF00004321","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000008","SANTA MONICA COLLEGE BOOKSTORE","SF00004239","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","-$1018.01","-$1018.01","01/03/2022"
"PR000009","WARRENTON AQUATIC & RECREATION FACILITY","SF00004043","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000010","CONVERSE COUNTY SCHOOL DISTRICT #1","SF00004758","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000011","PACKAGING CORPORATION OF AMERICA","SF00004641","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000012","FOLLETT STORE #0331 UNIVERSITY STORE AT ORU","SF00003999","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000013","CACHE CREEK CASINO RESORT","SF00004275","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000014","JCC MILWAUKEE","SF00004984","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000015","UNIVERSITY OF MICHIGAN","SF00004073","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
